MEMID,ED4A
008009001,Upper Secondary
008010001,Lower Secondary
008010002,Primary
008010003,Lower Secondary
008010004,Primary
008011001,Upper Secondary
008011002,Upper Secondary
008012001,Professional School
008012002,College/University and above
008013001,Professional School
008013002,Professional School
008013003,College/University and above
008014001,Lower Secondary
008014002,College/University and above
008014003,College/University and above
008014004,
008014005,
008015001,Upper Secondary
008015002,College/University and above
008015003,Upper Secondary
008016001,College/University and above
008016002,College/University and above
008016003,Lower Secondary
008016004,Primary
008016005,College/University and above
008017001,College/University and above
008017002,Professional School
008017003,Upper Secondary
008018001,College/University and above
008018002,College/University and above
008018003,College/University and above
008018004,
008019001,College/University and above
008019002,College/University and above
008019003,
008019004,College/University and above
008019005,College/University and above
009001001,Professional School
009001002,Professional School
009001003,Upper Secondary
009001004,Primary
009002001,Upper Secondary
009002002,Lower Secondary
009002003,Professional School
009003001,Professional School
009003002,College/University and above
009003003,Upper Secondary
009004001,Lower Secondary
009004002,College/University and above
009004003,
009005001,College/University and above
009005002,Upper Secondary
009006001,Primary
009006002,Primary
009006003,Lower Secondary
009007001,Upper Secondary
009007002,Primary
009007003,Lower Secondary
009007004,Professional School
009007005,Primary
009008001,Upper Secondary
009008002,Primary
009008003,
009008004,Lower Secondary
009009001,Lower Secondary
009009002,Professional School
009009003,Professional School
009010001,Upper Secondary
009010002,Upper Secondary
009010003,Upper Secondary
009010004,
009011001,College/University and above
009011002,Professional School
009012001,Upper Secondary
009012002,Upper Secondary
009012003,Lower Secondary
009012004,College/University and above
009013001,Lower Secondary
009013002,Upper Secondary
009013003,Lower Secondary
009013004,Upper Secondary
009013005,
009014001,Professional School
009014002,College/University and above
009014003,College/University and above
009014004,Professional School
009014005,Primary
009014006,Preschool
009014007,
009015001,Upper Secondary
009015002,Upper Secondary
009016001,College/University and above
009016002,College/University and above
009016003,Lower Secondary
009016004,
009016005,Lower Secondary
009016006,Lower Secondary
009017001,College/University and above
009017002,College/University and above
009017003,College/University and above
009017004,
009017005,
009018001,Upper Secondary
009018002,College/University and above
009018003,Professional School
009018004,Upper Secondary
009019001,Professional School
009019002,Upper Secondary
009019003,Upper Secondary
009019004,Lower Secondary
010001001,College/University and above
010001002,College/University and above
010001003,Primary
010001004,
010002001,Upper Secondary
010002002,Upper Secondary
010002003,Upper Secondary
010002004,
010003001,Primary
010004001,College/University and above
010004002,College/University and above
010004003,Primary
010004004,
010005001,Primary
010005002,Lower Secondary
010005003,Upper Secondary
010005004,Lower Secondary
010006001,Upper Secondary
010006002,Upper Secondary
010006003,Professional School
010006004,College/University and above
010006005,College/University and above
010006006,
010007001,Lower Secondary
010008001,College/University and above
010008002,College/University and above
010008003,College/University and above
010008004,College/University and above
010009001,College/University and above
010009002,College/University and above
010009003,College/University and above
010009004,Lower Secondary
010010001,College/University and above
010010002,College/University and above
010010003,College/University and above
010010004,Upper Secondary
010011001,Upper Secondary
010011002,Upper Secondary
010011003,College/University and above
010012001,Professional School
010012002,College/University and above
010012003,College/University and above
010012004,Primary
010012005,Preschool
010013001,College/University and above
010013002,College/University and above
010013003,Preschool
010013004,
010014001,College/University and above
010014002,College/University and above
010014003,College/University and above
010014004,Lower Secondary
010015001,Upper Secondary
010015002,Upper Secondary
010016001,College/University and above
010016002,College/University and above
010016003,Primary
010016004,
010017001,Lower Secondary
010017002,Lower Secondary
010017003,Upper Secondary
010017004,Primary
010018001,Lower Secondary
010018002,Lower Secondary
010019001,Upper Secondary
010019002,Upper Secondary
010019003,College/University and above
010019004,Lower Secondary
011001001,Upper Secondary
011001002,Upper Secondary
