HHID,ethnicity_hh
025004,Kinh and Hoa
025005,Kinh and Hoa
025006,Kinh and Hoa
025007,Kinh and Hoa
025008,Kinh and Hoa
025009,Kinh and Hoa
025010,Kinh and Hoa
025011,Kinh and Hoa
025012,Kinh and Hoa
025013,Kinh and Hoa
025014,Kinh and Hoa
025015,Kinh and Hoa
025016,Kinh and Hoa
025017,Kinh and Hoa
025018,Kinh and Hoa
025019,Kinh and Hoa
025020,Kinh and Hoa
026001,Kinh and Hoa
026002,Kinh and Hoa
026003,Kinh and Hoa
026004,Kinh and Hoa
026005,Kinh and Hoa
026006,Kinh and Hoa
026007,Kinh and Hoa
026008,Kinh and Hoa
026009,Kinh and Hoa
026010,Kinh and Hoa
026011,Kinh and Hoa
026012,Kinh and Hoa
026013,Kinh and Hoa
026014,Kinh and Hoa
026015,Kinh and Hoa
026016,Kinh and Hoa
026017,Kinh and Hoa
026018,
026019,
026020,Kinh and Hoa
027001,Kinh and Hoa
027002,Kinh and Hoa
027003,Kinh and Hoa
027004,Kinh and Hoa
027005,Kinh and Hoa
027006,Kinh and Hoa
027007,Kinh and Hoa
027008,Kinh and Hoa
027009,Kinh and Hoa
027010,Kinh and Hoa
027011,Kinh and Hoa
027012,Kinh and Hoa
027013,Kinh and Hoa
027014,Kinh and Hoa
027015,Kinh and Hoa
027016,Kinh and Hoa
027017,Kinh and Hoa
027018,Kinh and Hoa
027019,Kinh and Hoa
027020,Kinh and Hoa
028001,Kinh and Hoa
028002,Kinh and Hoa
028003,Kinh and Hoa
028004,Kinh and Hoa
028005,Kinh and Hoa
028006,Kinh and Hoa
028007,Kinh and Hoa
028008,Kinh and Hoa
028009,Kinh and Hoa
028010,Kinh and Hoa
028011,Kinh and Hoa
028012,Kinh and Hoa
028013,Kinh and Hoa
028014,Kinh and Hoa
028015,Kinh and Hoa
028016,Kinh and Hoa
028017,Kinh and Hoa
028018,Kinh and Hoa
028019,Kinh and Hoa
028020,Kinh and Hoa
029001,Kinh and Hoa
029002,Kinh and Hoa
029003,Kinh and Hoa
029004,Kinh and Hoa
029005,Kinh and Hoa
029006,Kinh and Hoa
029007,Kinh and Hoa
029008,Kinh and Hoa
029009,Kinh and Hoa
029010,Kinh and Hoa
029011,Kinh and Hoa
029012,Kinh and Hoa
029013,Kinh and Hoa
029014,Kinh and Hoa
029015,Kinh and Hoa
029016,Kinh and Hoa
029017,Kinh and Hoa
029018,Kinh and Hoa
029019,Kinh and Hoa
029020,Kinh and Hoa
030001,Kinh and Hoa
030002,Kinh and Hoa
030003,Kinh and Hoa
030004,Kinh and Hoa
030005,Kinh and Hoa
030006,Kinh and Hoa
030007,Kinh and Hoa
030008,
030009,Kinh and Hoa
030010,Kinh and Hoa
030011,Kinh and Hoa
030012,Kinh and Hoa
030013,Kinh and Hoa
030014,Kinh and Hoa
030015,Kinh and Hoa
030016,
030017,
030018,Kinh and Hoa
030019,Kinh and Hoa
030020,
031001,Kinh and Hoa
031002,Kinh and Hoa
031003,Kinh and Hoa
031004,Kinh and Hoa
031005,Kinh and Hoa
031006,Kinh and Hoa
031007,Kinh and Hoa
031008,Kinh and Hoa
031009,Kinh and Hoa
031010,Kinh and Hoa
031011,Kinh and Hoa
031012,Kinh and Hoa
031013,
031014,Kinh and Hoa
031015,
031016,Kinh and Hoa
031017,
031018,Kinh and Hoa
031019,Kinh and Hoa
031020,Kinh and Hoa
032001,Kinh and Hoa
032002,Kinh and Hoa
032003,Kinh and Hoa
032004,Kinh and Hoa
032005,Kinh and Hoa
032006,Kinh and Hoa
032007,Kinh and Hoa
032008,Kinh and Hoa
032009,Kinh and Hoa
032010,Kinh and Hoa
032011,Kinh and Hoa
032012,
032013,
032014,
032015,Kinh and Hoa
032016,
032017,Kinh and Hoa
032018,Kinh and Hoa
032019,Kinh and Hoa
032020,Kinh and Hoa
033001,Kinh and Hoa
033002,Kinh and Hoa
033003,Kinh and Hoa
033004,
033005,Kinh and Hoa
033006,Kinh and Hoa
033007,Kinh and Hoa
033008,Kinh and Hoa
033009,Kinh and Hoa
033010,Kinh and Hoa
033011,Kinh and Hoa
033012,
033013,"Tay, Thai, Muong, Nung"
033014,Kinh and Hoa
033015,Kinh and Hoa
033016,Kinh and Hoa
033017,Kinh and Hoa
033018,Kinh and Hoa
033019,Kinh and Hoa
033020,Kinh and Hoa
034001,Kinh and Hoa
034002,Kinh and Hoa
034003,Kinh and Hoa
034004,Kinh and Hoa
034005,Kinh and Hoa
034006,Kinh and Hoa
034007,Kinh and Hoa
034008,Kinh and Hoa
034009,Kinh and Hoa
034010,Kinh and Hoa
034011,Kinh and Hoa
034012,Kinh and Hoa
034013,Kinh and Hoa
034014,Kinh and Hoa
034015,Kinh and Hoa
034016,Kinh and Hoa
034017,Kinh and Hoa
034018,Kinh and Hoa
034019,
034020,
035001,Kinh and Hoa
035002,Kinh and Hoa
035003,Kinh and Hoa
035004,Kinh and Hoa
035005,Kinh and Hoa
035006,Kinh and Hoa
035007,
035008,Kinh and Hoa
035009,Kinh and Hoa
035010,Kinh and Hoa
035011,Kinh and Hoa
035012,Kinh and Hoa
035013,Kinh and Hoa
035014,Kinh and Hoa
035015,Kinh and Hoa
035016,Kinh and Hoa
035017,Kinh and Hoa
035018,Kinh and Hoa
035019,Kinh and Hoa
035020,Kinh and Hoa
036001,Kinh and Hoa
036002,Kinh and Hoa
036003,Kinh and Hoa
036004,Kinh and Hoa
036005,Kinh and Hoa
036006,Kinh and Hoa
036007,Kinh and Hoa
036008,Kinh and Hoa
036009,Kinh and Hoa
036010,Kinh and Hoa
036011,Kinh and Hoa
036012,Kinh and Hoa
036013,Kinh and Hoa
036014,Kinh and Hoa
036015,Kinh and Hoa
036016,
036017,Kinh and Hoa
036018,Kinh and Hoa
036019,Kinh and Hoa
036020,Kinh and Hoa
037001,Kinh and Hoa
037002,Kinh and Hoa
037003,Kinh and Hoa
037004,
037005,Kinh and Hoa
037006,Kinh and Hoa
037007,Kinh and Hoa
037008,Kinh and Hoa
037009,"Tay, Thai, Muong, Nung"
037010,Kinh and Hoa
037011,Kinh and Hoa
037012,
037013,Kinh and Hoa
037014,Kinh and Hoa
037015,Kinh and Hoa
037016,Kinh and Hoa
037017,
037018,Kinh and Hoa
037019,Kinh and Hoa
037020,Kinh and Hoa
038001,Kinh and Hoa
038002,Kinh and Hoa
038003,Kinh and Hoa
038004,Kinh and Hoa
038005,Kinh and Hoa
038006,Kinh and Hoa
038007,Kinh and Hoa
038008,Kinh and Hoa
038009,Kinh and Hoa
038010,Kinh and Hoa
038011,Kinh and Hoa
038012,Kinh and Hoa
038013,Kinh and Hoa
038014,Kinh and Hoa
038015,Kinh and Hoa
038016,Kinh and Hoa
038017,Kinh and Hoa
038018,Kinh and Hoa
038019,Kinh and Hoa
038020,Kinh and Hoa
039001,Kinh and Hoa
039002,Kinh and Hoa
039003,Kinh and Hoa
039004,Kinh and Hoa
039005,Kinh and Hoa
039006,Kinh and Hoa
039007,Kinh and Hoa
039008,Kinh and Hoa
039009,Kinh and Hoa
039010,
039011,Kinh and Hoa
039012,Kinh and Hoa
039013,Kinh and Hoa
039014,Kinh and Hoa
039015,Kinh and Hoa
039016,Kinh and Hoa
039017,Kinh and Hoa
039018,Kinh and Hoa
039019,Kinh and Hoa
039020,Kinh and Hoa
040001,Kinh and Hoa
040002,Kinh and Hoa
040003,Kinh and Hoa
040004,Kinh and Hoa
040005,Kinh and Hoa
040006,Kinh and Hoa
040007,Kinh and Hoa
040008,Kinh and Hoa
040009,Kinh and Hoa
040010,Kinh and Hoa
040011,Kinh and Hoa
040012,Kinh and Hoa
040013,Kinh and Hoa
040014,Kinh and Hoa
040015,Kinh and Hoa
040016,Kinh and Hoa
040017,Kinh and Hoa
040018,Kinh and Hoa
040019,Kinh and Hoa
040020,Kinh and Hoa
041001,Kinh and Hoa
041002,Kinh and Hoa
041003,Kinh and Hoa
041004,Kinh and Hoa
041005,
041006,Kinh and Hoa
041007,Kinh and Hoa
041008,Kinh and Hoa
041009,Kinh and Hoa
041010,Kinh and Hoa
041011,Kinh and Hoa
041012,Kinh and Hoa
041013,Kinh and Hoa
041014,Kinh and Hoa
041015,Kinh and Hoa
041016,Kinh and Hoa
041017,Kinh and Hoa
041018,Kinh and Hoa
041019,Kinh and Hoa
041020,
042001,Kinh and Hoa
042002,Kinh and Hoa
042003,Kinh and Hoa
042004,
042005,Kinh and Hoa
042006,Kinh and Hoa
042007,Kinh and Hoa
042008,Kinh and Hoa
042009,Kinh and Hoa
042010,
042011,Kinh and Hoa
042012,Kinh and Hoa
042013,Kinh and Hoa
042014,Kinh and Hoa
042015,
042016,Kinh and Hoa
042017,Kinh and Hoa
042018,Kinh and Hoa
042019,Kinh and Hoa
042020,Kinh and Hoa
043001,
043002,
043003,Kinh and Hoa
043004,
043005,Kinh and Hoa
043006,
043007,Kinh and Hoa
043008,Kinh and Hoa
043009,Kinh and Hoa
043010,Kinh and Hoa
043011,Kinh and Hoa
043012,Kinh and Hoa
043013,"Tay, Thai, Muong, Nung"
043014,Kinh and Hoa
043015,Kinh and Hoa
043016,Kinh and Hoa
043017,Kinh and Hoa
043018,Kinh and Hoa
043019,Kinh and Hoa
043020,
044001,Kinh and Hoa
044002,Kinh and Hoa
044003,Kinh and Hoa
044004,Kinh and Hoa
044005,Kinh and Hoa
044006,Kinh and Hoa
044007,Kinh and Hoa
044008,Kinh and Hoa
044009,Kinh and Hoa
044010,Kinh and Hoa
044011,Kinh and Hoa
044012,Kinh and Hoa
044013,Kinh and Hoa
044014,Kinh and Hoa
044015,Kinh and Hoa
044016,Kinh and Hoa
044017,Kinh and Hoa
044018,Kinh and Hoa
044019,Kinh and Hoa
044020,Kinh and Hoa
045001,Kinh and Hoa
045002,Kinh and Hoa
045003,Kinh and Hoa
045004,Kinh and Hoa
045005,Kinh and Hoa
045006,Kinh and Hoa
045007,Kinh and Hoa
045008,Kinh and Hoa
045009,Kinh and Hoa
045010,Kinh and Hoa
045011,Kinh and Hoa
045012,Kinh and Hoa
045013,Kinh and Hoa
045014,Kinh and Hoa
045015,Kinh and Hoa
045016,Kinh and Hoa
045017,Kinh and Hoa
045018,Kinh and Hoa
045019,Kinh and Hoa
045020,Kinh and Hoa
046001,Kinh and Hoa
046002,Kinh and Hoa
046003,Kinh and Hoa
046004,
046005,Kinh and Hoa
046006,Kinh and Hoa
046007,Kinh and Hoa
046008,Kinh and Hoa
046009,Kinh and Hoa
046010,Kinh and Hoa
046011,Kinh and Hoa
046012,Kinh and Hoa
046013,Kinh and Hoa
046014,Kinh and Hoa
046015,Kinh and Hoa
046016,Kinh and Hoa
046017,Kinh and Hoa
046018,
046019,Kinh and Hoa
046020,Kinh and Hoa
047001,Kinh and Hoa
047002,Kinh and Hoa
047003,Kinh and Hoa
047004,Kinh and Hoa
047005,Kinh and Hoa
047006,Kinh and Hoa
047007,Kinh and Hoa
047008,
047009,Kinh and Hoa
047010,Kinh and Hoa
047011,Kinh and Hoa
047012,Kinh and Hoa
047013,Kinh and Hoa
047014,Kinh and Hoa
047015,Kinh and Hoa
047016,Kinh and Hoa
047017,Kinh and Hoa
047018,Kinh and Hoa
047019,Kinh and Hoa
047020,Kinh and Hoa
048001,Kinh and Hoa
048002,Kinh and Hoa
048003,Kinh and Hoa
048004,Kinh and Hoa
048005,Kinh and Hoa
048006,Kinh and Hoa
048007,Kinh and Hoa
048008,Kinh and Hoa
048009,Kinh and Hoa
048010,Kinh and Hoa
048011,Kinh and Hoa
048012,Kinh and Hoa
048013,Kinh and Hoa
048014,Kinh and Hoa
048015,Kinh and Hoa
048016,Kinh and Hoa
048017,Kinh and Hoa
048018,Kinh and Hoa
048019,Kinh and Hoa
048020,Kinh and Hoa
049001,Kinh and Hoa
049002,Kinh and Hoa
049003,Kinh and Hoa
049004,Kinh and Hoa
049005,Kinh and Hoa
049006,Kinh and Hoa
049007,Kinh and Hoa
049008,Kinh and Hoa
049009,Kinh and Hoa
049010,Kinh and Hoa
049011,Kinh and Hoa
049012,Kinh and Hoa
049013,Kinh and Hoa
049014,Kinh and Hoa
049015,Kinh and Hoa
049016,Kinh and Hoa
049017,Kinh and Hoa
049018,Kinh and Hoa
049019,Kinh and Hoa
049020,Kinh and Hoa
050001,Kinh and Hoa
050002,Kinh and Hoa
050003,Kinh and Hoa
050004,Kinh and Hoa
050005,Kinh and Hoa
050006,Kinh and Hoa
050007,Kinh and Hoa
050008,Kinh and Hoa
050009,Kinh and Hoa
050010,Kinh and Hoa
050011,Kinh and Hoa
050012,Kinh and Hoa
050013,Kinh and Hoa
050014,Other/Missing
050015,"Tay, Thai, Muong, Nung"
050016,Kinh and Hoa
050017,Kinh and Hoa
050018,Kinh and Hoa
050019,Kinh and Hoa
050020,Kinh and Hoa
051001,Kinh and Hoa
051002,Kinh and Hoa
051003,Kinh and Hoa
051004,Kinh and Hoa
051005,Kinh and Hoa
051006,Kinh and Hoa
051007,Kinh and Hoa
051008,Kinh and Hoa
051009,Kinh and Hoa
051010,Kinh and Hoa
051011,Kinh and Hoa
051012,Kinh and Hoa
051013,Kinh and Hoa
051014,Kinh and Hoa
051015,Kinh and Hoa
051016,Kinh and Hoa
051017,Kinh and Hoa
051018,Kinh and Hoa
051019,Kinh and Hoa
051020,
052001,Kinh and Hoa
052002,Kinh and Hoa
052003,Kinh and Hoa
052004,Kinh and Hoa
052005,Kinh and Hoa
052006,Kinh and Hoa
052007,Kinh and Hoa
052008,Kinh and Hoa
052009,Kinh and Hoa
052010,Kinh and Hoa
052011,Kinh and Hoa
052012,Kinh and Hoa
052013,Kinh and Hoa
052014,Kinh and Hoa
052015,Kinh and Hoa
052016,Kinh and Hoa
052017,Kinh and Hoa
052018,Kinh and Hoa
052019,Kinh and Hoa
052020,Kinh and Hoa
053001,Kinh and Hoa
053002,Kinh and Hoa
053003,Kinh and Hoa
