HHID,HHAGE,HHSEX
044010,44.0,Female
044011,36.0,Female
044012,47.0,Male
044013,43.0,Female
044014,47.0,Female
044015,36.0,Female
044016,64.0,Female
044017,79.0,Male
044018,63.0,Male
044019,61.0,Male
044020,39.0,Female
045001,51.0,Male
045002,95+,Male
045003,48.0,Female
045004,34.0,Female
045005,43.0,Female
045006,33.0,Male
045007,55.0,Female
045008,60.0,Male
045009,47.0,Female
045010,34.0,Female
045011,43.0,Male
045012,47.0,Male
045013,39.0,Male
045014,87.0,Male
045015,29.0,Male
045016,77.0,Female
045017,55.0,Female
045018,47.0,Male
045019,62.0,Male
045020,55.0,Female
046001,65.0,Male
046002,60.0,Female
046003,58.0,Male
046005,76.0,Female
046006,42.0,Female
046007,57.0,Male
046008,48.0,Female
046009,33.0,Male
046010,55.0,Male
046011,87.0,Female
046012,44.0,Male
046013,56.0,Female
046014,44.0,Male
046015,39.0,Male
046016,45.0,Male
046017,65.0,Male
046019,46.0,Male
046020,40.0,Male
047001,37.0,Male
047002,30.0,Male
047003,50.0,Male
047004,31.0,Male
047005,50.0,Male
047006,64.0,Female
047007,55.0,Male
047009,51.0,Male
047010,45.0,Male
047011,65.0,Female
047012,87.0,Male
047013,80.0,Male
047014,45.0,Male
047015,40.0,Female
047016,71.0,Male
047017,33.0,Male
047018,63.0,Female
047019,53.0,Female
047020,43.0,Male
048001,42.0,Male
048002,61.0,Male
048003,44.0,Male
048004,47.0,Male
048005,43.0,Male
048006,44.0,Male
048007,70.0,Female
048008,66.0,Male
048009,55.0,Female
048010,72.0,Male
048011,68.0,Female
048012,55.0,Male
048013,51.0,Male
048014,62.0,Female
048015,59.0,Male
048016,58.0,Male
048017,55.0,Male
048018,57.0,Male
048019,46.0,Female
048020,38.0,Male
049001,48.0,Male
049002,36.0,Male
049003,57.0,Female
049004,60.0,Male
049005,52.0,Male
049006,65.0,Male
049007,46.0,Female
049008,34.0,Male
049009,49.0,Male
049010,40.0,Female
049011,73.0,Male
049012,56.0,Male
049013,61.0,Male
049014,67.0,Male
049015,38.0,Male
049016,51.0,Male
049017,51.0,Male
049018,79.0,Male
049019,73.0,Female
049020,57.0,Female
050001,37.0,Male
050002,27.0,Male
050003,55.0,Male
050004,52.0,Male
050005,66.0,Female
050006,20.0,Female
050007,58.0,Male
050008,56.0,Female
050009,67.0,Female
050010,65.0,Male
050011,61.0,Female
050012,38.0,Male
050013,73.0,Male
050014,20.0,Male
050015,20.0,Male
050016,20.0,Female
050017,32.0,Male
050018,42.0,Male
050019,21.0,Female
050020,84.0,Male
051001,39.0,Male
051002,64.0,Male
051003,40.0,Male
051004,49.0,Male
051005,61.0,Female
051006,52.0,Male
051007,55.0,Female
051008,48.0,Male
051009,52.0,Male
051010,42.0,Male
051011,59.0,Male
051012,37.0,Male
051013,72.0,Male
051014,53.0,Male
051015,28.0,Male
051016,76.0,Male
051017,49.0,Male
051018,60.0,Male
051019,69.0,Male
052001,80.0,Female
052002,38.0,Male
052003,78.0,Female
052004,45.0,Male
052005,54.0,Female
052006,60.0,Male
052007,48.0,Male
052008,82.0,Female
052009,58.0,Male
052010,41.0,Male
