MEMID,ed3a
103050203022001,Long apprentice
103050203022002,Higher
103050203022003,Long apprentice
103050203022004,Lower secondary
103050203023001,Secondary
103050203023002,Secondary
103050203023003,Primary
103050203023004,
103050203023005,Secondary
103050203025001,Lower secondary
103050203025002,Secondary
103050203025003,Lower secondary
103050203025004,
103050203061001,Lower secondary
103050203061002,Lower secondary
103050203061003,Secondary
103050203061004,Long apprentice
103050203061005,
103050203062001,Secondary
103050203062002,Long apprentice
103050203062003,Secondary
103050203062004,Primary
103050203063001,Secondary
103050203063002,Secondary
103050203063003,Primary
103050203064001,Secondary
103050203064002,Lower secondary
103050203064003,Secondary
103050203064004,Secondary
103050203076001,Lower secondary
103050203076002,Long apprentice
103050203076003,
103110749001001,Secondary
103110749001002,Lower secondary
103110749001003,Primary
103110749001004,Primary
103110749002001,Lower secondary
103110749002002,Secondary
103110749002003,Secondary
103110749003001,Secondary
103110749003002,Secondary
103110749003003,Higher
103110749003004,Secondary
103110749003005,Lower secondary
103110749004001,Lower secondary
103110749004002,Lower secondary
103110749004003,Secondary
103110749004004,Secondary
103110749004005,Lower secondary
103110749004006,Preschool/kindergarten
103110749005001,Lower secondary
103110749005002,Long apprentice
103110749005003,Secondary
103110749005004,Lower secondary
103110749007001,Lower secondary
103110749007002,Lower secondary
103110749007003,Higher
103110749007004,Long apprentice
103110749007005,Lower secondary
103110749008001,Primary
103110749008002,
103110749008003,Lower secondary
103110749008004,Lower secondary
103110749008005,Primary
103110749008006,
103110749009001,Lower secondary
103110749009002,Lower secondary
103110749009003,Lower secondary
103110749009004,Secondary
103110749009005,Lower secondary
103110749010001,Lower secondary
103110749010002,Secondary
103110749011001,Lower secondary
103110749011002,Secondary
103110749011003,Lower secondary
103110749011004,Lower secondary
103110749011005,Primary
103110749012001,Primary
103110749012002,Lower secondary
103110749012003,Lower secondary
103110749012004,Secondary
103110749013001,Lower secondary
103110749013002,Primary
103110749013003,Long apprentice
103110749013004,Primary
103110749013005,Lower secondary
103110749013006,
103110749014001,Lower secondary
103110749014002,Secondary
103110749014003,Short Apprentice
103110749014004,Secondary
103110749014005,Lower secondary
103110749014006,Primary
103110749015001,Lower secondary
103110749015002,Primary
103110749015003,Lower secondary
103110749015004,Primary
103110749015005,
103110749016001,Secondary
103110749016002,Lower secondary
103110749016003,Higher
103110749016004,Secondary
103110749017001,Primary
103110749017002,Primary
103110749017003,Secondary
103110749017004,Preschool/kindergarten
103110749018001,Long apprentice
103110749018002,Lower secondary
103110749018003,Long apprentice
103110749018004,Secondary
103110749019001,Primary
103110749019002,Non-standard curriculum
103110749020001,Lower secondary
103110749020002,Secondary
103110749020003,Lower secondary
103110749020004,Preschool/kindergarten
103110749021001,Secondary
103110749021002,Long apprentice
103110749021003,Lower secondary
103110749021004,Lower secondary
103110749022001,Lower secondary
103110749022002,Primary
103110749022003,Long apprentice
103110749022004,Long apprentice
103110749022005,Secondary
103110749023001,Secondary
103110749023002,Lower secondary
103110749023003,Secondary
103110749023004,Lower secondary
103110749023005,Non-standard curriculum
103110749024001,Lower secondary
103110749024002,Primary
103110749025001,Long apprentice
103110749025002,Primary
103110749025003,Long apprentice
103110749026001,Secondary
103110749026002,Lower secondary
103110749026003,Long apprentice
103110749026004,Lower secondary
103110749027001,Lower secondary
103110749027002,Lower secondary
103110749027003,Lower secondary
103110749028001,Secondary
103110749028002,Lower secondary
103110749028003,Secondary
103110749028004,Lower secondary
103110749029001,Lower secondary
103110749029002,Lower secondary
103110749029003,Long apprentice
103110749029004,Long apprentice
103110749029005,Lower secondary
103110749030001,Long apprentice
103110749030002,Secondary
103110749030003,Primary
103110749030004,
103110749031001,Lower secondary
103110749031002,Lower secondary
103110749031003,Secondary
103110749031004,Lower secondary
103110749032001,Lower secondary
103110749032002,Primary
103110749032003,Secondary
103110749033001,Primary
103110749033002,Lower secondary
103110749033003,Lower secondary
103110749034001,Secondary
103110749034002,
103110749034003,Secondary
103110749034004,Secondary
103110749034005,Lower secondary
103110749035001,Primary
103110749035002,Primary
103110749035003,Lower secondary
103110749035004,Lower secondary
103110749035005,Long apprentice
103110749035006,
103110749036001,Secondary
103110749036002,Lower secondary
103110749036003,Primary
103110749036004,Primary
103110749036005,Preschool/kindergarten
103110749038001,Higher
103110749038002,Lower secondary
103110749038003,Primary
103110749038004,
103110749039001,Lower secondary
103110749039002,Lower secondary
103110749039003,
103110749039004,
103110749040001,Long apprentice
103110749040002,Long apprentice
103110749040003,
103110749061001,Primary
103110749061002,Lower secondary
103110749062001,Lower secondary
103110749062002,Secondary
103110749062003,
103171515004001,Long apprentice
103171515004002,Long apprentice
103171515005001,Primary
103171515005002,Primary
103171515006001,Long apprentice
103171515006002,Short Apprentice
103171515006003,Long apprentice
103171515006004,Secondary
103171515007001,Lower secondary
103171515007002,Lower secondary
103171515007003,
103171515008001,Primary
103171515008002,Lower secondary
103171515008003,Lower secondary
103171515008004,Lower secondary
103171515008005,
103171515008006,Lower secondary
103171515009001,Lower secondary
103171515009002,Primary
103171515009003,Long apprentice
103171515009004,Lower secondary
103171515010001,Lower secondary
103171515010002,Lower secondary
103171515010003,Lower secondary
103171515010004,Primary
103171515012001,Lower secondary
103171515012002,Lower secondary
103171515013001,Higher
103171515013002,Higher
103171515013003,Primary
103171515013004,
103171515014001,Lower secondary
103171515014002,Secondary
103171515014003,
103171515015001,Secondary
103171515015002,Secondary
103171515015003,Lower secondary
103171515015004,Primary
103171515015005,Preschool/kindergarten
103171515016001,Long apprentice
103171515016002,Lower secondary
103171515016003,Secondary
103171515016004,Lower secondary
103171515016005,Primary
103171515016006,
103171515017001,Lower secondary
103171515017002,Long apprentice
103171515018001,Lower secondary
103171515018002,Primary
103171515018003,Lower secondary
103171515019001,Lower secondary
103171515019002,Lower secondary
103171515019003,Lower secondary
103171515019004,
103171515020001,Non-standard curriculum
103171515021001,Lower secondary
103171515021002,Lower secondary
103171515021003,Lower secondary
103171515021004,Primary
103171515022001,Lower secondary
103171515022002,Lower secondary
103171515022003,Primary
103171515022004,
103171515023001,Short Apprentice
103171515023002,Lower secondary
103171515023003,Lower secondary
103171515023004,Lower secondary
103171515024001,Lower secondary
103171515024002,Lower secondary
103171515024003,Long apprentice
103171515024004,Lower secondary
103171515024005,Secondary
103171515025001,Short Apprentice
103171515025002,Lower secondary
103171515025003,Preschool/kindergarten
103171515025004,
103171515026001,Lower secondary
103171515026002,Long apprentice
103171515026003,Higher
103171515026004,Secondary
103171515027001,Primary
103171515027002,Primary
103171515027003,Lower secondary
103171515027004,Primary
103171515028001,Lower secondary
103171515028002,Lower secondary
103171515028003,Lower secondary
103171515028004,Lower secondary
103171515028005,Primary
103171515028006,
103171515029001,Secondary
103171515029002,Lower secondary
103171515029003,Secondary
103171515029004,Lower secondary
103171515030001,Lower secondary
103171515030002,Primary
103171515030003,Higher
103171515030004,Higher
103171515030005,
